Query	Hit	Rank	Probability	E-Value
UFD4	SXM1	46	77.4	0.13
UFD4	MOT1	47	77.4	0.13
UFD4	VPS15	48	76.2	0.15
UFD4	STU1	49	70.9	0.25
UFD4	RRP12	50	70.5	0.26
UFD4	AP2A	51	69.1	0.29
UFD4	NMD5	52	68.6	0.31
UFD4	CND1	54	66.1	0.38
UFD4	AP1G1	55	66.1	0.38
UFD4	PDS5	56	62.7	0.48
UFD4	TSC11	57	55.2	0.8
UFD4	XPO1	58	49.4	1.1
UFD4	CND3	59	34.8	2.7
UFD4	SCY1	61	22.9	6.1
CSE1	KA120	1	100.0	2.4e-61
CSE1	IMB4	2	100.0	3.1e-39
CSE1	SXM1	3	100.0	8.4e-64
CSE1	IMB1	4	100.0	6.4e-38
CSE1	NMD5	6	100.0	3.4e-65
CSE1	IMB3	7	99.9	3.2e-29
CSE1	IMB2	8	99.9	1.1e-30
CSE1	XPO1	11	99.8	2.4e-26
CSE1	RRP12	14	98.8	5.4e-13
CSE1	SF3B1	15	98.7	1.4e-12
CSE1	UTP20	16	98.4	4.0e-11
CSE1	GCN1	17	98.4	6.2e-11
CSE1	2AAA	18	98.1	6.4e-10
CSE1	ECM29	19	98.1	9.3e-10
CSE1	TOR2	20	97.8	7.3e-9
CSE1	MET18	21	97.7	1.6e-8
CSE1	VAC14	22	97.7	1.6e-8
CSE1	TOR1	23	97.5	4.3e-8
CSE1	UTP10	24	96.9	1.1e-6
CSE1	COPG	25	96.9	1.0e-6
CSE1	AP1B1	26	95.5	0.00011
CSE1	VAC8	27	94.4	0.0006
CSE1	IMA1	28	93.6	0.0014
CSE1	STU2	29	93.3	0.0019
CSE1	RTP1	30	93.3	0.0019
CSE1	AP3B	31	92.8	0.0027
CSE1	NEW1	32	92.7	0.003
CSE1	EF3B	33	92.3	0.0036
CSE1	EF3A	34	92.2	0.0039
CSE1	VPS15	35	91.2	0.0067
CSE1	COPB	36	91.1	0.0072
CSE1	AP3D	37	90.8	0.0079
CSE1	AP2B	38	90.4	0.0095
CSE1	MOT1	39	85.3	0.04
CSE1	CEX1	40	84.8	0.044
CSE1	CND1	42	74.1	0.19
CSE1	AP1G1	43	70.0	0.27
CSE1	IPI1	45	66.9	0.35
CSE1	UFD4	46	62.7	0.48
CSE1	PDS5	47	61.8	0.51
CSE1	STU1	49	52.5	0.94
CSE1	LAA1	50	50.7	1.1
CSE1	CND3	51	49.3	1.1
CSE1	AP2A	52	42.9	1.7
CSE1	TTI1	53	41.0	1.9
CSE1	FES1	54	35.4	2.6
CSE1	SCC2	55	31.7	3.3
CSE1	VID28	56	21.7	6.7
CSE1	SCC3	57	21.1	7
GCN1	UTP20	1	99.9	1.5e-27
GCN1	ECM29	2	99.8	4.7e-25
GCN1	IMB3	3	99.7	2.3e-21
GCN1	TOR1	4	99.7	2.6e-21
GCN1	IMB2	5	99.6	1.1e-19
GCN1	TOR2	6	99.6	2.1e-20
GCN1	SF3B1	7	99.5	6.3e-19
GCN1	IMB4	8	99.5	1.7e-18
GCN1	2AAA	9	99.4	3.8e-17
GCN1	RRP12	10	99.3	2.4e-16
GCN1	MET18	11	99.2	7.5e-16
GCN1	IMB1	12	99.1	2.5e-15
GCN1	MOT1	13	99.1	6.9e-15
GCN1	VAC14	14	98.9	2.0e-13
GCN1	EF3A	15	98.5	2.2e-11
GCN1	STU2	16	98.4	3.4e-11
GCN1	EF3B	17	98.4	3.7e-11
GCN1	AP1B1	18	98.3	1.1e-10
GCN1	NEW1	19	98.2	2.3e-10
GCN1	UTP10	20	97.9	2.1e-9
GCN1	COPG	21	97.9	4.0e-9
GCN1	VAC8	22	97.8	5.7e-9
GCN1	AP2B	23	97.7	9.1e-9
GCN1	PDS5	24	97.5	3.5e-8
GCN1	KA120	26	97.4	6.6e-8
GCN1	IMA1	27	97.4	9.3e-8
GCN1	CSE1	28	97.4	7.1e-8
GCN1	AP3D	29	97.2	2.3e-7
GCN1	AP3B	30	97.2	2.0e-7
GCN1	LAA1	31	97.1	4.0e-7
GCN1	COPB	32	97.1	4.9e-7
GCN1	STU1	33	97.0	6.2e-7
GCN1	AP1G1	34	96.7	2.9e-6
GCN1	SXM1	35	96.6	4.7e-6
GCN1	NMD5	37	96.3	9.9e-6
GCN1	VPS15	38	96.2	1.7e-5
GCN1	AP2A	39	96.1	2.2e-5
GCN1	SCC2	40	95.9	3.8e-5
GCN1	CND1	41	95.3	0.00014
GCN1	RPN2	42	95.1	0.00022
GCN1	DOHH	43	94.9	0.0003
GCN1	VID28	45	94.7	0.00039
GCN1	SHE4	46	94.5	0.00053
GCN1	CEX1	47	94.1	0.00082
GCN1	XPO1	48	93.8	0.0011
GCN1	UFD4	49	93.5	0.0016
GCN1	TR732	51	91.3	0.0064
GCN1	TAO3	52	90.8	0.008
GCN1	CND3	53	90.3	0.0097
GCN1	RTP1	54	90.2	0.01
GCN1	FES1	55	78.2	0.12
GCN1	KOG1	56	70.3	0.27
GCN1	IPI1	57	69.0	0.3
GCN1	RPN1	58	66.5	0.36
GCN1	VATH	60	61.4	0.53
GCN1	SCC3	62	54.0	0.86
GCN1	HGH1	63	50.1	1.1
GCN1	TTI1	64	46.7	1.3
GCN1	BLM10	65	35.2	2.7
GCN1	LTN1	69	23.6	5.8
GCN1	USO1	70	22.9	6.1
TOR1	TOR2	2	100.0	4.0e-188
TOR1	IMB3	4	99.8	3.9e-25
TOR1	GCN1	5	99.8	7.8e-25
TOR1	ECM29	6	99.8	6.9e-24
TOR1	IMB2	7	99.7	1.9e-21
TOR1	SF3B1	8	99.7	2.8e-21
TOR1	IMB4	9	99.7	1.8e-22
TOR1	UTP20	10	99.5	3.0e-18
TOR1	IMB1	11	99.5	9.3e-19
TOR1	MET18	12	99.4	1.7e-17
TOR1	2AAA	13	99.4	5.9e-18
TOR1	MOT1	14	99.2	4.1e-16
TOR1	VAC14	15	99.1	1.3e-14
TOR1	RRP12	16	99.0	1.6e-14
TOR1	UTP10	17	98.5	1.0e-11
TOR1	AP1B1	18	98.5	2.5e-11
TOR1	VAC8	19	98.3	1.4e-10
TOR1	STU2	20	98.1	8.9e-10
TOR1	COPG	21	98.1	7.1e-10
TOR1	KA120	22	98.0	1.1e-9
TOR1	CSE1	23	98.0	1.2e-9
TOR1	IMA1	24	97.7	1.4e-8
TOR1	AP2B	25	97.7	1.7e-8
TOR1	AP3D	26	97.6	3.2e-8
TOR1	AP3B	27	97.6	2.8e-8
TOR1	EF3B	29	97.4	9.5e-8
TOR1	EF3A	30	97.4	9.1e-8
TOR1	COPB	32	97.3	1.7e-7
TOR1	NMD5	34	97.1	4.2e-7
TOR1	CYC8	35	97.1	5.2e-7
TOR1	PDS5	36	97.0	5.3e-7
TOR1	NEW1	37	96.9	1.3e-6
TOR1	SXM1	39	96.9	8.9e-7
TOR1	STU1	42	96.7	2.1e-6
TOR1	AP1G1	43	96.7	2.6e-6
TOR1	DOHH	47	96.0	2.7e-5
TOR1	SCC2	48	96.0	3.1e-5
TOR1	UFD4	51	95.9	3.9e-5
TOR1	AP2A	52	95.8	5.3e-5
TOR1	VID28	53	95.8	5.6e-5
TOR1	VPS15	54	95.7	6.6e-5
TOR1	RPN2	55	95.7	5.7e-5
TOR1	RTP1	56	95.4	0.00013
TOR1	SHE4	57	95.2	0.00017
TOR1	XPO1	61	94.6	0.00048
TOR1	CEX1	64	93.3	0.0018
TOR1	CND3	66	92.2	0.004
TOR1	TR732	68	91.8	0.005
TOR1	FES1	74	89.5	0.013
TOR1	CND1	81	78.9	0.11
TOR1	VATH	82	76.0	0.15
TOR1	IPI1	83	75.9	0.15
TOR1	TTI1	84	72.4	0.22
TOR1	SCC3	85	71.8	0.23
TOR1	USO1	86	70.3	0.27
TOR1	KOG1	88	67.4	0.34
TOR1	RPN1	94	60.4	0.57
TOR1	BLM10	96	58.1	0.66
TOR1	LAA1	97	57.3	0.7
TOR1	SEC17	99	55.5	0.78
TOR1	HGH1	102	50.8	1.1
TOR1	LTN1	115	36.0	2.5
TOR1	SIL1	118	33.3	3
TOR1	SYO1	125	27.8	4.3
TOR1	SCY1	126	27.8	4.3
UTP20	GCN1	1	99.8	3.9e-25
UTP20	TOR2	2	99.6	2.2e-20
UTP20	IMB3	3	99.5	4.0e-19
UTP20	IMB4	4	99.5	2.1e-19
UTP20	TOR1	5	99.2	8.6e-16
UTP20	RRP12	6	99.2	4.3e-16
UTP20	ECM29	7	99.1	1.2e-14
UTP20	SF3B1	8	99.0	6.0e-14
UTP20	IMB2	9	98.9	1.7e-13
UTP20	IMB1	10	98.9	9.7e-14
UTP20	2AAA	11	98.7	2.8e-12
UTP20	MET18	12	98.4	4.4e-11
UTP20	VAC14	13	97.8	5.9e-9
UTP20	EF3B	14	97.7	1.7e-8
UTP20	NEW1	15	97.7	1.6e-8
UTP20	EF3A	16	97.7	9.3e-9
UTP20	STU2	17	97.2	2.0e-7
UTP20	MOT1	18	97.1	3.8e-7
UTP20	AP1B1	19	97.0	8.3e-7
UTP20	COPG	20	96.8	2.0e-6
UTP20	UTP10	21	96.6	3.8e-6
UTP20	VAC8	22	96.6	3.9e-6
UTP20	CSE1	23	96.4	7.4e-6
UTP20	IMA1	24	96.2	1.6e-5
UTP20	AP3D	25	95.7	6.8e-5
UTP20	AP2B	26	95.3	0.00015
UTP20	NMD5	27	95.3	0.00014
UTP20	AP3B	28	95.1	0.00022
UTP20	KA120	29	94.9	0.00031
UTP20	SXM1	30	94.9	0.00032
UTP20	VPS15	32	94.3	0.00065
UTP20	COPB	33	94.1	0.0009
UTP20	PDS5	34	93.6	0.0014
UTP20	STU1	35	93.0	0.0023
UTP20	CEX1	36	92.3	0.0038
UTP20	RPN2	37	91.7	0.0051
UTP20	AP1G1	38	90.2	0.01
UTP20	SCC2	39	87.2	0.026
UTP20	DOHH	41	85.8	0.036
UTP20	SHE4	42	85.3	0.04
UTP20	UFD4	44	81.8	0.074
UTP20	VID28	45	78.5	0.11
UTP20	CND3	46	78.5	0.11
UTP20	XPO1	47	76.2	0.15
UTP20	AP2A	48	75.3	0.17
UTP20	RTP1	49	69.1	0.3
UTP20	IPI1	51	56.1	0.75
UTP20	BLM10	52	55.9	0.77
UTP20	CND1	53	51.6	1
UTP20	FES1	54	45.5	1.4
UTP20	VATH	55	38.6	2.2
UTP20	SCC3	57	36.2	2.5
UTP20	LTN1	58	34.3	2.8
UTP20	HGH1	59	32.0	3.3
UTP20	SYO1	60	27.7	4.3
UTP20	LAA1	61	23.6	5.7
UTP20	TTI1	62	23.3	5.9
UTP20	KOG1	63	22.2	6.4
UTP20	SCY1	64	21.9	6.6
AP1B1	AP3D	1	100.0	3.2e-53
AP1B1	AP2A	2	100.0	7.3e-52
AP1B1	COPG	3	100.0	7.2e-41
AP1B1	COPB	4	100.0	3.3e-45
AP1B1	AP2B	5	100.0	7.8e-70
AP1B1	AP3B	6	100.0	6.1e-53
AP1B1	AP1G1	7	100.0	3.9e-62
AP1B1	2AAA	8	99.5	2.2e-19
AP1B1	VAC14	9	99.0	3.6e-14
AP1B1	IMB2	10	98.9	2.4e-13
AP1B1	SF3B1	11	98.9	9.8e-14
AP1B1	VAC8	12	98.9	9.0e-14
AP1B1	IMB3	13	98.8	3.8e-13
AP1B1	GCN1	14	98.8	8.8e-13
AP1B1	IMA1	15	98.7	1.3e-12
AP1B1	RPN2	16	98.5	1.7e-11
AP1B1	ECM29	17	98.5	2.5e-11
AP1B1	TOR2	18	98.3	7.7e-11
AP1B1	DOHH	19	98.3	1.1e-10
AP1B1	TOR1	20	98.3	1.1e-10
AP1B1	IMB4	21	98.3	1.7e-10
AP1B1	IMB1	22	98.3	1.4e-10
AP1B1	STU2	23	97.9	4.2e-9
AP1B1	PDS5	24	97.9	2.8e-9
AP1B1	VID28	25	97.7	9.2e-9
AP1B1	SHE4	26	97.5	5.4e-8
AP1B1	UTP20	27	97.3	1.6e-7
AP1B1	SCC2	28	97.3	1.4e-7
AP1B1	UTP10	29	97.1	3.9e-7
AP1B1	CEX1	30	97.0	7.9e-7
AP1B1	MET18	31	96.9	1.0e-6
AP1B1	MOT1	32	96.9	1.3e-6
AP1B1	RRP12	33	96.7	2.1e-6
AP1B1	UFD4	34	96.6	4.3e-6
AP1B1	KA120	35	96.5	6.4e-6
AP1B1	VPS15	36	96.5	5.2e-6
AP1B1	CND1	37	96.4	8.3e-6
AP1B1	CND3	38	96.2	1.8e-5
AP1B1	CSE1	39	96.2	1.6e-5
AP1B1	NMD5	40	96.0	3.0e-5
AP1B1	EF3B	41	95.8	5.0e-5
AP1B1	NEW1	42	95.8	5.3e-5
AP1B1	EF3A	43	95.8	5.1e-5
AP1B1	SXM1	44	95.5	0.0001
AP1B1	RPN1	45	95.5	0.00011
AP1B1	STU1	47	95.2	0.00017
AP1B1	RTP1	48	94.1	0.0009
AP1B1	VATH	49	94.1	0.00088
AP1B1	FES1	51	93.6	0.0014
AP1B1	XPO1	52	91.8	0.005
AP1B1	TR732	53	90.9	0.0077
AP1B1	LAA1	54	89.9	0.011
AP1B1	SCC3	55	89.8	0.012
AP1B1	KOG1	56	87.0	0.028
AP1B1	MAK21	58	85.7	0.037
AP1B1	HGH1	59	85.3	0.04
AP1B1	SYO1	60	83.3	0.057
AP1B1	IPI1	61	80.8	0.085
AP1B1	USO1	62	79.8	0.097
AP1B1	BLM10	64	60.0	0.58
AP1B1	TSC11	65	52.4	0.95
AP1B1	HSM3	66	48.7	1.2
AP1B1	SCY1	68	42.9	1.7
AP1B1	SDA1	71	40.0	2
AP1B1	TTI1	72	35.1	2.7
AP1B1	SIL1	73	26.9	4.6
YKH5	KRE29	1	10.2	21
TTI1	IMB4	1	99.4	7.4e-18
TTI1	IMB3	2	98.7	1.6e-12
TTI1	IMB1	3	98.5	1.9e-11
TTI1	IMB2	4	97.4	8.2e-8
TTI1	ECM29	5	96.6	4.2e-6
TTI1	GCN1	6	96.4	7.0e-6
TTI1	2AAA	7	96.3	1.0e-5
TTI1	VAC14	8	96.2	1.4e-5
TTI1	TOR1	9	93.1	0.0021
TTI1	UTP10	10	92.8	0.0027
TTI1	TOR2	11	92.3	0.0037
TTI1	STU2	12	88.7	0.017
TTI1	SF3B1	13	86.5	0.031
TTI1	KA120	14	84.2	0.05
TTI1	UTP20	15	84.1	0.05
TTI1	RRP12	16	80.0	0.095
TTI1	RTP1	17	79.4	0.1
TTI1	AP3D	18	74.0	0.19
TTI1	IPI1	19	73.9	0.19
TTI1	MET18	20	73.2	0.2
TTI1	CSE1	21	69.1	0.3
TTI1	EF3B	22	64.9	0.41
TTI1	EF3A	24	64.2	0.43
TTI1	MOT1	25	57.4	0.69
TTI1	CEX1	26	54.3	0.84
TTI1	STU1	27	52.2	0.96
TTI1	SXM1	28	49.7	1.1
TTI1	COPG	29	49.6	1.1
TTI1	NEW1	30	48.8	1.2
TTI1	XPO1	31	42.4	1.7
TTI1	VPS15	32	41.6	1.8
TTI1	HSM3	33	37.2	2.4
TTI1	PDS5	34	34.8	2.7
TTI1	CND1	36	32.4	3.2
TTI1	NMD5	37	31.6	3.3
TTI1	AP1B1	38	30.3	3.6
TTI1	CND3	40	23.6	5.8
TTI1	VAC8	42	20.8	7.1
AP2A	AP3D	1	100.0	1.7e-68
AP2A	COPG	2	100.0	1.1e-58
AP2A	COPB	3	100.0	2.2e-56
AP2A	AP2B	4	100.0	1.1e-57
AP2A	AP3B	5	100.0	1.7e-55
AP2A	AP1G1	6	100.0	2.1e-87
AP2A	AP1B1	7	100.0	6.3e-58
AP2A	2AAA	8	98.6	6.4e-12
AP2A	VAC8	9	97.9	3.2e-9
AP2A	VAC14	10	97.5	5.6e-8
AP2A	IMA1	12	97.2	2.0e-7
AP2A	SF3B1	13	97.1	4.8e-7
AP2A	IMB3	14	96.9	9.1e-7
AP2A	GCN1	15	96.9	1.2e-6
AP2A	IMB2	17	96.8	1.5e-6
AP2A	ECM29	18	96.8	1.8e-6
AP2A	TOR1	19	96.4	7.8e-6
AP2A	TOR2	20	96.3	1.3e-5
AP2A	RPN2	21	95.6	8.0e-5
AP2A	IMB4	22	95.5	0.00011
AP2A	STU2	23	95.3	0.00016
AP2A	DOHH	24	95.3	0.00014
AP2A	IMB1	25	94.5	0.00055
AP2A	VID28	26	94.5	0.00051
AP2A	SCC2	27	93.0	0.0023
AP2A	VPS15	28	92.0	0.0045
AP2A	SHE4	29	91.8	0.0049
AP2A	CND1	30	90.6	0.0087
AP2A	PDS5	31	89.5	0.013
AP2A	CEX1	32	89.2	0.015
AP2A	UTP20	33	88.7	0.017
AP2A	UTP10	34	88.0	0.021
AP2A	MET18	35	87.2	0.026
AP2A	RTP1	36	85.8	0.036
AP2A	CSE1	37	84.8	0.044
AP2A	NEW1	38	83.2	0.059
AP2A	SXM1	39	83.0	0.06
AP2A	KA120	40	82.9	0.061
AP2A	MAK21	41	81.8	0.074
AP2A	CND3	42	81.4	0.079
AP2A	UFD4	43	80.1	0.094
AP2A	RRP12	44	76.6	0.14
AP2A	NMD5	45	76.0	0.15
AP2A	MOT1	46	75.2	0.17
AP2A	EF3A	47	72.5	0.22
AP2A	HGH1	49	64.4	0.43
AP2A	VATH	50	60.1	0.58
AP2A	LAA1	51	58.6	0.64
AP2A	EF3B	52	56.0	0.76
AP2A	SCC3	53	52.4	0.95
AP2A	FES1	55	47.1	1.3
AP2A	RPN1	56	45.3	1.5
AP2A	STU1	57	36.5	2.5
AP2A	USO1	58	35.1	2.7
AP2A	TSC11	59	34.1	2.9
AP2A	KOG1	60	29.7	3.8
AP2A	IPI1	61	28.8	4
STU1	STU2	1	99.9	8.7e-29
STU1	VAC14	2	97.8	8.2e-9
STU1	2AAA	3	97.8	7.2e-9
STU1	SF3B1	4	97.7	1.2e-8
STU1	IMB2	5	97.4	9.8e-8
STU1	GCN1	6	97.1	4.1e-7
STU1	ECM29	7	96.9	8.8e-7
STU1	TOR1	8	96.5	4.7e-6
STU1	IMB3	9	96.3	1.0e-5
STU1	TOR2	10	96.3	1.2e-5
STU1	EF3A	11	96.0	2.5e-5
STU1	NEW1	12	95.4	0.00011
STU1	IMA1	13	95.0	0.00024
STU1	AP1B1	14	94.9	0.00029
STU1	EF3B	15	94.7	0.0004
STU1	UTP20	16	94.6	0.00048
STU1	IMB1	17	94.6	0.00045
STU1	VAC8	18	93.1	0.0021
STU1	CEX1	19	92.9	0.0024
STU1	MOT1	20	92.8	0.0027
STU1	AP2B	21	92.6	0.0031
STU1	COPG	22	91.5	0.0059
STU1	IMB4	23	91.0	0.0072
STU1	CND3	24	90.4	0.0094
STU1	UTP10	25	90.3	0.0098
STU1	AP3B	26	87.9	0.022
STU1	MET18	27	87.6	0.023
STU1	COPB	28	86.5	0.031
STU1	RRP12	29	82.0	0.071
STU1	AP3D	30	81.8	0.074
STU1	PDS5	31	81.6	0.075
STU1	FES1	32	79.6	0.1
STU1	CND1	33	77.3	0.13
STU1	UFD4	34	75.2	0.17
STU1	SCC2	35	74.7	0.18
STU1	RTP1	36	63.1	0.47
STU1	CSE1	37	54.6	0.83
STU1	VPS15	38	54.0	0.86
STU1	AP1G1	39	46.8	1.3
STU1	LTN1	40	44.3	1.6
STU1	DOHH	41	41.8	1.8
STU1	KA120	42	40.5	1.9
STU1	IPI1	43	33.3	3
STU1	TTI1	44	29.3	3.9
STU1	NMD5	45	26.5	4.7
STU1	VID28	46	24.6	5.4
STU1	MAK21	47	22.5	6.3
STU1	BLM10	48	21.7	6.7
STU1	SXM1	49	21.1	7
IMB2	IMB3	1	100.0	2.5e-34
IMB2	KA120	2	100.0	1.2e-36
IMB2	IMB4	3	100.0	5.9e-35
IMB2	IMB1	4	100.0	5.8e-40
IMB2	CSE1	6	100.0	4.3e-37
IMB2	SXM1	7	99.9	2.8e-32
IMB2	NMD5	8	99.9	1.3e-31
IMB2	GCN1	9	99.8	4.1e-24
IMB2	TOR1	10	99.7	2.7e-21
IMB2	XPO1	11	99.7	4.8e-23
IMB2	SF3B1	12	99.7	2.1e-23
IMB2	2AAA	14	99.7	8.2e-22
IMB2	ECM29	15	99.7	5.6e-23
IMB2	TOR2	16	99.6	4.8e-20
IMB2	VAC14	19	99.5	1.3e-18
IMB2	UTP20	21	99.3	3.6e-16
IMB2	MET18	22	99.1	8.8e-15
IMB2	UTP10	23	99.0	4.2e-14
IMB2	COPG	24	99.0	1.7e-14
IMB2	RRP12	25	99.0	5.3e-14
IMB2	STU2	26	98.9	1.8e-13
IMB2	VAC8	27	98.9	2.2e-13
IMB2	AP1B1	28	98.9	2.4e-13
IMB2	MOT1	29	98.8	5.1e-13
IMB2	IMA1	30	98.4	7.1e-11
IMB2	AP2B	31	98.3	1.4e-10
IMB2	AP3B	32	98.3	1.1e-10
IMB2	COPB	33	97.9	3.0e-9
IMB2	AP3D	34	97.8	4.6e-9
IMB2	EF3B	35	97.7	1.6e-8
IMB2	STU1	36	97.7	1.4e-8
IMB2	NEW1	37	97.6	2.7e-8
IMB2	EF3A	38	97.6	2.0e-8
IMB2	AP1G1	39	97.4	6.7e-8
IMB2	VPS15	40	96.9	9.6e-7
IMB2	PDS5	41	96.8	1.8e-6
IMB2	AP2A	42	96.8	1.5e-6
IMB2	VID28	43	96.8	1.7e-6
IMB2	DOHH	44	96.7	2.3e-6
IMB2	UFD4	45	96.5	6.0e-6
IMB2	SCC2	46	96.5	6.5e-6
IMB2	RTP1	47	96.5	6.2e-6
IMB2	RPN2	48	96.5	5.4e-6
IMB2	SHE4	49	96.3	1.1e-5
IMB2	CEX1	50	96.2	1.5e-5
IMB2	CND3	51	95.5	0.00011
IMB2	FES1	52	93.5	0.0015
IMB2	CND1	53	92.9	0.0025
IMB2	TTI1	54	92.9	0.0024
IMB2	IPI1	55	91.5	0.0058
IMB2	TR732	58	88.9	0.016
IMB2	VATH	59	87.4	0.025
IMB2	SCC3	60	83.9	0.052
IMB2	RPN1	61	82.8	0.063
IMB2	HGH1	62	81.0	0.082
IMB2	LAA1	63	80.6	0.087
IMB2	BLM10	65	67.9	0.33
IMB2	USO1	66	64.7	0.42
IMB2	KOG1	68	63.4	0.46
IMB2	LTN1	70	55.0	0.81
IMB2	SIL1	72	45.2	1.5
IMB2	SYO1	73	44.6	1.5
IMB2	SCY1	75	25.8	4.9
IMB2	TSC11	76	23.0	6
FES1	SIL1	1	99.7	6.2e-22
FES1	UFD4	2	99.2	1.5e-15
FES1	IMA1	3	99.0	2.9e-14
FES1	VID28	4	98.9	7.2e-14
FES1	VAC8	5	98.8	3.6e-13
FES1	SHE4	6	98.5	2.2e-11
FES1	HGH1	7	98.2	3.9e-10
FES1	SYO1	8	98.1	6.0e-10
FES1	VATH	9	97.6	1.9e-8
FES1	USO1	10	96.9	1.0e-6
FES1	KOG1	11	96.2	1.7e-5
FES1	AP1B1	12	96.1	2.5e-5
FES1	2AAA	13	95.9	4.3e-5
FES1	DOHH	14	95.4	0.00012
FES1	TOR1	16	94.8	0.00035
FES1	IMB3	17	94.7	0.00038
FES1	PDS5	18	94.5	0.00056
FES1	IMB2	19	94.4	0.00061
FES1	SF3B1	20	93.8	0.0012
FES1	CEX1	21	93.6	0.0014
FES1	IMB4	22	92.9	0.0024
FES1	AP3B	23	92.8	0.0027
FES1	VAC14	24	92.6	0.003
FES1	TSC11	25	92.6	0.003
FES1	AP3D	26	92.5	0.0033
FES1	COPG	27	91.7	0.0052
FES1	GCN1	28	91.6	0.0054
FES1	STU2	29	91.3	0.0063
FES1	AP2B	30	91.3	0.0064
FES1	IMB1	31	91.2	0.0067
FES1	MET18	32	91.0	0.0073
FES1	TOR2	33	90.8	0.0079
FES1	CND1	34	90.6	0.0089
FES1	SCC2	35	89.8	0.012
FES1	COPB	36	88.5	0.018
FES1	ECM29	37	87.5	0.024
FES1	EF3B	38	87.0	0.028
FES1	RPN2	39	86.7	0.029
FES1	UTP10	40	86.6	0.03
FES1	EF3A	41	86.5	0.031
FES1	RTP1	43	83.5	0.056
FES1	NEW1	44	81.8	0.073
FES1	UTP20	45	81.2	0.08
FES1	MOT1	47	80.8	0.086
FES1	CND3	48	79.0	0.11
FES1	RRP12	50	78.4	0.12
FES1	AP1G1	51	77.9	0.12
FES1	AP2A	53	73.4	0.2
FES1	STU1	54	71.9	0.23
FES1	VPS15	55	66.3	0.37
FES1	KA120	58	61.3	0.53
FES1	SCC3	59	59.2	0.62
FES1	TR732	60	58.7	0.64
FES1	XPO1	61	55.4	0.79
FES1	NMD5	64	42.1	1.8
FES1	MAK21	66	38.5	2.2
FES1	HSM3	67	37.8	2.3
FES1	CSE1	68	35.8	2.6
FES1	HYM1	70	34.5	2.8
FES1	SXM1	72	31.9	3.3
FES1	RPN1	73	30.8	3.5
FES1	IPI1	74	30.7	3.6
FES1	TTI1	77	25.8	4.9
FES1	BNI1	79	24.6	5.4
FES1	LAA1	81	23.0	6
HSM3	VAC8	1	96.4	7.9e-6
HSM3	AP3D	2	67.5	0.34
HSM3	AP1B1	3	46.0	1.4
HSM3	IMA1	4	44.6	1.5
HSM3	AP3B	5	39.9	2
HSM3	FES1	6	32.4	3.2
HSM3	HGH1	7	26.5	4.7
ECM29	IMB4	1	99.9	5.2e-28
ECM29	GCN1	2	99.9	1.5e-29
ECM29	IMB3	3	99.8	8.0e-26
ECM29	TOR2	4	99.8	1.2e-23
ECM29	IMB2	5	99.7	5.7e-22
ECM29	TOR1	6	99.7	6.3e-23
ECM29	SF3B1	7	99.7	1.0e-22
ECM29	UTP20	8	99.6	7.9e-20
ECM29	IMB1	9	99.6	2.5e-20
ECM29	2AAA	10	99.6	4.4e-20
ECM29	MET18	11	99.4	1.9e-17
ECM29	VAC14	12	99.4	2.2e-17
ECM29	RRP12	13	99.2	1.0e-15
ECM29	MOT1	14	99.1	6.0e-15
ECM29	UTP10	15	99.0	5.9e-14
ECM29	AP1B1	16	98.7	2.8e-12
ECM29	STU2	17	98.5	2.0e-11
ECM29	KA120	18	98.2	2.9e-10
ECM29	CSE1	19	98.2	2.7e-10
ECM29	VAC8	20	98.1	8.9e-10
ECM29	COPG	21	98.0	1.0e-9
ECM29	NMD5	23	97.9	3.6e-9
ECM29	AP2B	24	97.8	4.7e-9
ECM29	AP3B	25	97.8	8.8e-9
ECM29	SXM1	26	97.7	1.1e-8
ECM29	EF3A	27	97.7	1.7e-8
ECM29	IMA1	28	97.6	2.1e-8
ECM29	EF3B	29	97.5	3.4e-8
ECM29	NEW1	30	97.5	4.7e-8
ECM29	AP3D	31	97.2	2.8e-7
ECM29	COPB	32	97.2	2.7e-7
ECM29	AP1G1	33	96.9	8.8e-7
ECM29	STU1	34	96.7	3.0e-6
ECM29	VPS15	35	96.4	8.9e-6
ECM29	SCC2	36	96.3	1.0e-5
ECM29	RPN2	37	96.3	9.7e-6
ECM29	DOHH	40	96.0	3.1e-5
ECM29	RTP1	41	96.0	2.8e-5
ECM29	AP2A	42	95.9	3.6e-5
ECM29	XPO1	43	95.8	4.5e-5
ECM29	CEX1	44	95.6	7.5e-5
ECM29	VID28	45	95.2	0.00017
ECM29	CND1	46	94.9	0.00028
ECM29	UFD4	47	94.3	0.00071
ECM29	SHE4	49	94.1	0.00081
ECM29	CND3	51	94.0	0.00092
ECM29	PDS5	52	93.9	0.001
ECM29	IPI1	53	88.3	0.019
ECM29	FES1	54	88.1	0.02
ECM29	TR732	55	87.6	0.024
ECM29	RPN1	58	76.9	0.14
ECM29	VATH	59	70.1	0.27
ECM29	BLM10	60	69.2	0.29
ECM29	LAA1	61	65.1	0.41
ECM29	SCC3	62	57.9	0.67
ECM29	HGH1	63	53.1	0.91
ECM29	KOG1	68	34.4	2.8
ECM29	USO1	69	25.9	4.9
ECM29	TTI1	70	25.4	5.1
ECM29	LTN1	71	24.6	5.4
ECM29	SYO1	72	23.2	5.9
